sample_id	donor	replicate	clone	received_as	media	medium_changes	sex
babk_B	babk	2	2	alive/frozen	E8	10	female
bima_B	bima	1	1	alive	E8	6	male
cicb_B	cicb	1	3	frozen	E8	6	male
coyi_B	coyi	1	3	frozen	E8	7	female
diku_B	diku	1	1	frozen	E8	6	female
eika_B	eika	1	2	frozen	E8	9	male
eipl_B	eipl	1	1	frozen	E8	7	female
eiwy_B	eiwy	1	1	frozen	E8	7	female
eofe_B	eofe	1	1	alive	KSR	8	female
eojr_B	eojr	1	3	frozen	E8	9	male
fafq_B	fafq	1	1	frozen	E8	5	male
febc_B	febc	1	2	frozen	E8	6	female
guss_B	guss	1	1	frozen	E8	5	female
hayt_B	hayt	1	1	frozen	E8	6	male
hehd_B	hehd	1	2	frozen	E8	8	female
heja_B	heja	1	1	frozen	E8	9	male
hiaf_B	hiaf	1	2	frozen	E8	7	male
ieki_B	ieki	1	2	frozen	E8	11	female
iill_B	iill	1	1	frozen	E8	7	male
iisa_B	iisa	1	3	frozen	E8	8	male
joxm_B	joxm	1	1	frozen	E8	9	female
kuxp_B	kuxp	1	1	frozen	E8	6	male
nukw_B	nukw	1	1	frozen	E8	7	female
nusw_B	nusw	1	2	frozen	KSR	9	male
oapg_B	oapg	1	5	frozen	E8	7	female
oefg_B	oefg	1	2	frozen	KSR	6	male
oevr_B	oevr	1	3	frozen	E8	8	male
pahc_B	pahc	1	4	frozen	E8	9	female
pamv_B	pamv	1	3	frozen	E8	6	male
pelm_B	pelm	1	3	frozen	E8	8	female
podx_B	podx	1	1	frozen	E8	5	female
qolg_B	qolg	1	3	frozen	E8	6	male
ruyv_B	ruyv	1	1	frozen	KSR	9	female
sojd_B	sojd	1	3	frozen	E8	7	female
sukz_B	sukz	1	1	frozen	E8	8	male
uimo_B	uimo	1	1	frozen	E8	10	female
vass_B	vass	1	1	frozen	E8	7	female
veqz_B	veqz	1	6	frozen	E8	8	female
xucm_B	xucm	1	3	frozen	E8	6	female
xugn_B	xugn	1	1	frozen	E8	8	male
zaui_B	zaui	1	3	frozen	E8	9	female
