ENSEMBL	chromosome_name	start_position	end_position
ENSG00000140323	15	40358219	40378621
ENSG00000273464	21	29657406	29657831
ENSG00000278996	21	8197620	8227646
ENSG00000152213	13	49628507	49633872
ENSG00000278558	22	18527802	18530573
ENSG00000125775	20	1309909	1329139
ENSG00000262228	17	763565	765319
ENSG00000154642	21	17788974	17819386
ENSG00000101825	X	3308565	3346652
ENSG00000089057	20	4852356	5010293
ENSG00000272842	9	19371386	19371945
ENSG00000253557	8	19084992	19259469
ENSG00000100014	22	24270817	24417739
ENSG00000168993	4	784957	826129
ENSG00000100836	14	23321457	23326163
ENSG00000139193	12	6444955	6451718
ENSG00000142606	1	2590639	2633016
ENSG00000231473	13	48296162	48303702
ENSG00000169100	X	1386152	1392113
ENSG00000101367	20	32819954	32850405
ENSG00000162032	16	1776712	1793700
ENSG00000271755	6	27404010	27406964
ENSG00000204682	10	21492658	21497260
ENSG00000124486	X	41085445	41236579
ENSG00000273061	9	4676600	4679502
ENSG00000139190	12	6462237	6470677
ENSG00000156006	8	18391282	18401218
ENSG00000143869	2	20667144	20679243
ENSG00000244041	6	2987967	2991173
ENSG00000270100	2	20678254	20678932
ENSG00000137145	9	19230435	19374281
ENSG00000106305	7	6009255	6023834
ENSG00000224846	6	2989335	2999604
ENSG00000272688	18	3246401	3247086
ENSG00000183186	19	405445	409147
ENSG00000111254	12	4615508	4649051
ENSG00000147036	X	37571569	37684463
ENSG00000265399	18	3190397	3247277
ENSG00000139890	14	22883222	22887678
ENSG00000104969	19	2754715	2783362
ENSG00000161929	17	5208920	5234860
ENSG00000237436	1	6783892	6784843
ENSG00000168724	5	34929559	34958964
ENSG00000144554	3	10026370	10101932
ENSG00000107611	10	16823966	17129811
ENSG00000185736	10	1177313	1737525
ENSG00000261613	16	2554060	2556060
ENSG00000141449	18	21242232	21526112
ENSG00000258325	12	2796877	2812902
ENSG00000280739	3	40061110	40309698
ENSG00000133703	12	25205246	25250936
ENSG00000162545	1	20482391	20486210
ENSG00000228427	X	71183382	71198229
ENSG00000120686	13	38349849	38363619
ENSG00000137078	9	35649295	35650931
ENSG00000180979	15	42537820	42548802
ENSG00000185352	13	96090107	96839562
ENSG00000159788	4	3293021	3439913
ENSG00000198816	19	7515292	7521025
ENSG00000261795	7	161765	164972
ENSG00000086232	7	6022247	6059175
ENSG00000140320	15	40439721	40468236
ENSG00000218510	1	22024558	22031223
ENSG00000074800	1	8861000	8879190
ENSG00000172940	3	38265812	38278757
ENSG00000128185	22	20314238	20320080
ENSG00000178977	17	8220624	8224043
ENSG00000111203	12	2812622	2859791
ENSG00000267040	18	57630297	57669296
ENSG00000130731	16	634427	636366
ENSG00000106819	9	92456205	92482506
ENSG00000012779	10	45374176	45446119
ENSG00000236120	X	5653418	5726326
ENSG00000116213	1	3630767	3652761
ENSG00000115750	2	9843443	9934416
ENSG00000236008	2	8461703	8592903
ENSG00000253958	8	8701937	8704096
ENSG00000198876	9	34086387	34127399
ENSG00000171763	15	45402336	45421415
ENSG00000269609	10	102449816	102461106
ENSG00000099284	10	70052544	70112282
ENSG00000273353	22	45178990	45179310
ENSG00000120942	1	11273198	11296049
ENSG00000101605	18	3066807	3219968
ENSG00000269371	19	7519916	7520460
ENSG00000184293	12	9715860	9733299
ENSG00000132763	1	45500300	45513382
ENSG00000183397	19	3539171	3544030
ENSG00000248874	5	23951348	24178263
ENSG00000255526	14	24213955	24232352
ENSG00000141639	18	50560087	50731826
ENSG00000120055	10	102449837	102451543
ENSG00000212743	10	6350316	6352762
ENSG00000181704	X	68498562	68537282
ENSG00000081923	18	57646426	57803315
ENSG00000272004	1	1659325	1662602
ENSG00000111843	6	10722915	10731129
ENSG00000074356	17	3802158	3846246
ENSG00000246225	11	22829380	22945393
ENSG00000103356	16	23520754	23557731
ENSG00000176204	2	76747685	77593319
ENSG00000112773	6	81491439	81752774
ENSG00000181418	12	48995149	48999375
ENSG00000077943	10	15513954	15719922
ENSG00000205090	1	1534778	1540624
ENSG00000147100	X	74421493	74533917
ENSG00000266933	19	490046	507833
ENSG00000099968	22	17628855	17730855
ENSG00000115042	2	95402708	95416616
ENSG00000154678	7	31751179	32428131
ENSG00000170264	2	61824848	61854143
ENSG00000141933	19	507497	519654
ENSG00000072121	14	67727374	67816590
ENSG00000188636	22	44492583	44498233
ENSG00000108953	17	1344275	1400222
ENSG00000163938	3	52681156	52694497
ENSG00000182541	22	31212239	31280080
ENSG00000168078	8	27809624	27838082
ENSG00000197776	14	49693105	49753150
ENSG00000113369	5	91368631	91383317
ENSG00000140470	15	99971437	100342005
ENSG00000261684	15	42497394	42532840
ENSG00000148459	10	26697701	26746798
ENSG00000124614	6	34417454	34426069
ENSG00000125844	20	17613678	17682295
ENSG00000166529	7	100049774	100065040
